CATEGORY,COURSE_TITLE,COLLEGE,COURSE_CODE,2020,2021,2022_PREDICTION,LEVEL
Welfare,Social Care,"Institute of Technology, Tralee",TL781,225,261,303,7
Arts,"Animation, Visual Effects and Motion Design (Level 8)","Institute of Technology, Tralee",TL801,281,718,1835,8
Arts,"TV, Radio and New Media (Level 8)","Institute of Technology, Tralee",TL802,325,322,319,8
Information and Communication Technologies (ICTs),Computing with Software Development,"Institute of Technology, Tralee",TL810,310,308,306,8
Information and Communication Technologies (ICTs),Computing with Games Development,"Institute of Technology, Tralee",TL811,358,322,290,8
Information and Communication Technologies (ICTs),Computing (Degree Award options),"Institute of Technology, Tralee",TL815,308,307,306,8
Personal services,Event Management (3 year programme),"Institute of Technology, Tralee",TL823,299,293,287,8
Business and administration,Business Studies (Major Specialism in: Acctng or Mktg or Mgmnt),"Institute of Technology, Tralee",TL831,306,306,306,8
"Interdisciplinary programmes and qualifications involving agriculture, forestry and veterinary",Agricultural Engineering,"Institute of Technology, Tralee",TL844,300,301,302,8
Architecture and construction,Civil Engineering,"Institute of Technology, Tralee",TL845,325,361,401,8
Manufacturing and processing,Manufacturing Engineering,"Institute of Technology, Tralee",TL847,302,305,308,8
"Interdisciplinary programmes and qualifications involving agriculture, forestry and veterinary",Agricultural Science,"Institute of Technology, Tralee",TL848,308,307,306,8
Environment,Wildlife Biology (Degree Award options),"Institute of Technology, Tralee",TL851,309,309,309,8
Health,Pharmaceutical Science (Degree Award options),"Institute of Technology, Tralee",TL855,317,316,315,8
Veterinary,Veterinary Bioscience,"Institute of Technology, Tralee",TL858,308,317,326,8
Personal services,Health and Leisure (Degree Award options),"Institute of Technology, Tralee",TL871,300,303,306,8
Personal services,Health and Leisure with Massage,"Institute of Technology, Tralee",TL872,309,314,319,8
Personal services,Coaching and Sports Performance,"Institute of Technology, Tralee",TL873,289,308,328,8
Welfare,Early Childhood Care and Education,"Institute of Technology, Tralee",TL880,307,309,311,8
Welfare,Social Care,"Institute of Technology, Tralee",TL881,308,301,294,8
Welfare,Counselling with Addiction - Mature applicants only,"Institute of Technology, Tralee",TL889,NA,0,NA,8
Health,General Nursing and Mature Applicants,"Institute of Technology, Tralee",TL890,440,463,487,8
Health,Mental Health Nursing and Mature Applicants,"Institute of Technology, Tralee",TL891,389,440,498,8
Arts,Music,Trinity College Dublin,TR002,435,508,593,8
Humanities (except languages),History,Trinity College Dublin,TR003,497,552,613,8
Law,Law,Trinity College Dublin,TR004,566,590,615,8
Humanities (except languages),Philosophy,Trinity College Dublin,TR005,442,510,588,8
Social and behavioural sciences,Psychology,Trinity College Dublin,TR006,567,601,637,8
Health,Clinical Speech and Language Studies,Trinity College Dublin,TR007,529,564,601,8
Education,Music Education,Trinity College Dublin,TR009,420,496,586,8
Humanities (except languages),History and Political Science,Trinity College Dublin,TR012,555,NA,NA,8
Social and behavioural sciences,"Philosophy, Political Science, Economics and Sociology",Trinity College Dublin,TR015,589,613,638,8
Languages,Deaf Studies,Trinity College Dublin,TR016,340,389,445,8
Law,Law and Business,Trinity College Dublin,TR017,602,NA,NA,8
Law,Law and French,Trinity College Dublin,TR018,565,602,641,8
Law,Law and German,Trinity College Dublin,TR019,543,577,613,8
Law,Law and Political Science,Trinity College Dublin,TR020,602,NA,NA,8
Humanities (except languages),"Classics, Ancient History and Archaeology",Trinity College Dublin,TR021,370,467,589,8
Languages,Early and Modern Irish,Trinity College Dublin,TR022,398,377,357,8
Languages,English Studies,Trinity College Dublin,TR023,487,546,612,8
Humanities (except languages),European Studies,Trinity College Dublin,TR024,544,566,589,8
Arts,Drama and Theatre Studies,Trinity College Dublin,TR025,564,543,523,8
Humanities (except languages),Ancient and Medieval History and Culture,Trinity College Dublin,TR028,342,498,725,8
Social and behavioural sciences,Political Science and Geography,Trinity College Dublin,TR029,526,NA,NA,8
Mathematics and statistics,Mathematics,Trinity College Dublin,TR031,531,579,631,8
Engineering and engineering trades,Engineering,Trinity College Dublin,TR032,510,556,606,8
Information and Communication Technologies (ICTs),Computer Science,Trinity College Dublin,TR033,509,566,629,8
Business and administration,Management Science and Information Systems Studies,Trinity College Dublin,TR034,613,625,637,8
Physical sciences,Theoretical Physics,Trinity College Dublin,TR035,543,590,641,8
Engineering and engineering trades,Engineering with Management,Trinity College Dublin,TR038,532,589,652,8
Information and Communication Technologies (ICTs),Computer Science and Language,Trinity College Dublin,TR039,454,443,432,8
Languages,Middle Eastern and European Languages and Cultures,Trinity College Dublin,TR040,466,520,580,8
Humanities (except languages),Religion,Trinity College Dublin,TR041,368,417,473,8
Arts,Film,Trinity College Dublin,TR042,489,531,577,8
Humanities (except languages),History of Art and Architecture,Trinity College Dublin,TR043,393,498,631,8
Health,Medicine (HPAT required),Trinity College Dublin,TR051,735,743,751,8
Health,Dental Science,Trinity College Dublin,TR052,613,625,637,8
Health,Physiotherapy,Trinity College Dublin,TR053,566,590,615,8
Health,Occupational Therapy,Trinity College Dublin,TR054,533,578,627,8
Health,Radiation Therapy,Trinity College Dublin,TR055,543,577,613,8
Health,Human Health and Disease,Trinity College Dublin,TR056,565,601,639,8
Biological and related sciences,Biological and Biomedical Sciences,Trinity College Dublin,TR060,543,578,615,8
Physical sciences,Chemical Sciences,Trinity College Dublin,TR061,517,558,602,8
Physical sciences,Geography and Geoscience,Trinity College Dublin,TR062,473,495,518,8
Physical sciences,Physical Sciences,Trinity College Dublin,TR063,498,554,616,8
Health,Pharmacy,Trinity College Dublin,TR072,590,613,637,8
Business and administration,Global Business,Trinity College Dublin,TR080,589,613,638,8
Social and behavioural sciences,"Business, Economic and Social Studies (BESS)",Trinity College Dublin,TR081,543,577,613,8
Business and administration,Computer Science and Business,Trinity College Dublin,TR082,555,NA,NA,8
Social and behavioural sciences,Sociology and Social Policy,Trinity College Dublin,TR083,498,NA,NA,8
Welfare,Social Studies (Social Work),Trinity College Dublin,TR084,462,497,535,8
Business and administration,Business Studies and French,Trinity College Dublin,TR085,540,564,589,8
Business and administration,Business Studies and German,Trinity College Dublin,TR086,509,530,552,8
Business and administration,Business Studies and Russian,Trinity College Dublin,TR087,474,487,500,8
Business and administration,Business Studies and Polish,Trinity College Dublin,TR089,444,391,344,8
Business and administration,Business Studies and Spanish,Trinity College Dublin,TR090,531,566,603,8
Health,General Nursing (Meath and St James`s),Trinity College Dublin,TR091,429,462,498,8
Health,General Nursing (Adelaide School of Nursing),Trinity College Dublin,TR093,430,473,520,8
Health,Mental Health Nursing,Trinity College Dublin,TR095,408,442,479,8
Health,Intellectual Disability Nursing,Trinity College Dublin,TR097,396,412,429,8
Arts,Ancient History and Archaeology/Geography,Trinity College Dublin,TR111,352,496,699,8
Arts,Ancient History and Archaeology/History,Trinity College Dublin,TR112,529,577,629,8
Arts,Ancient History and Archaeology/History of Art and Architecture,Trinity College Dublin,TR113,337,528,827,8
Arts,Ancient History and Archaeology/Modern Language,Trinity College Dublin,TR114,337,507,763,8
Arts,Ancient History and Archaeology/Religion,Trinity College Dublin,TR117,342,494,714,8
Arts,Classical Civilisation/English Literature,Trinity College Dublin,TR166,498,552,612,8
Arts,Classical Civilisation/History of Art and Architecture,Trinity College Dublin,TR173,335,420,527,8
Arts,Classical Civilisation/Modern Language,Trinity College Dublin,TR177,335,484,699,8
Arts,Classical Civilisation/Philosophy,Trinity College Dublin,TR179,499,508,517,8
Arts,Economics/Geography,Trinity College Dublin,TR198,534,0,NA,8
Arts,Economics/History,Trinity College Dublin,TR202,534,601,676,8
Arts,Economics/Mathematics,Trinity College Dublin,TR207,566,613,664,8
Arts,Economics/Modern Language,Trinity College Dublin,TR208,534,589,650,8
Arts,Economics/Philosophy,Trinity College Dublin,TR209,534,588,647,8
Arts,Economics/Sociology,Trinity College Dublin,TR212,534,589,650,8
Interdisciplinary programmes and qualifications involving arts and humanities,Classical Languages/English Literature,Trinity College Dublin,TR228,498,555,619,8
Interdisciplinary programmes and qualifications involving arts and humanities,Classical Languages/History of Art and Architecture,Trinity College Dublin,TR231,349,613,1077,8
Interdisciplinary programmes and qualifications involving arts and humanities,"Classical Languages/Middle Eastern,Jewish and Islamic Civilisations",Trinity College Dublin,TR233,349,583,974,8
Arts,Classical Languages/Modern Language,Trinity College Dublin,TR239,349,543,845,8
Arts,English Literature/History,Trinity College Dublin,TR262,529,576,627,8
Arts,English Literature/History of Art and Architecture,Trinity College Dublin,TR263,498,571,655,8
Arts,English Literature/Philosophy,Trinity College Dublin,TR269,499,555,617,8
Arts,English Literature/Sociology,Trinity College Dublin,TR272,498,553,614,8
Arts,English Literature/Drama Studies,Trinity College Dublin,TR276,NA,555,NA,8
Arts,English Literature/Modern Language,Trinity College Dublin,TR277,498,554,616,8
Arts,Film/Drama Studies,Trinity College Dublin,TR311,NA,578,NA,8
Arts,Film/English Literature,Trinity College Dublin,TR312,521,576,637,8
Arts,Film/Music,Trinity College Dublin,TR320,521,584,655,8
Arts,Geography/History,Trinity College Dublin,TR322,529,578,632,8
Arts,Drama Studies/Modern Language,Trinity College Dublin,TR323,NA,495,NA,8
Arts,Film/Modern Language,Trinity College Dublin,TR324,521,577,639,8
Arts,Film/History,Trinity College Dublin,TR325,529,578,632,8
Arts,Geography/Modern Language,Trinity College Dublin,TR326,352,451,578,8
Arts,Geography/Sociology,Trinity College Dublin,TR332,498,522,547,8
Arts,History/History of Art and Architecture,Trinity College Dublin,TR443,529,581,638,8
Arts,History/Modern Language,Trinity College Dublin,TR447,529,576,627,8
Arts,History/Philosophy,Trinity College Dublin,TR449,529,579,634,8
Arts,History/Sociology,Trinity College Dublin,TR452,529,NA,NA,8
Arts,History/Religion,Trinity College Dublin,TR454,529,0,NA,8
Arts,History of Art and Architecture/Modern Language,Trinity College Dublin,TR455,334,451,609,8
Arts,History of Art and Architecture/Philosophy,Trinity College Dublin,TR479,499,509,519,8
Arts,"Middle Eastern,Jewish and Islamic Civ./Ancient History and Archaeology",Trinity College Dublin,TR547,337,543,875,8
Arts,"Middle Eastern,Jewish and Islamic Civilisations/Classical Civilisation",Trinity College Dublin,TR548,335,544,883,8
Arts,"Middle Eastern,Jewish and Islamic Civilisations/History",Trinity College Dublin,TR554,529,576,627,8
Arts,"Middle Eastern,Jewish and Islamic Civilisations/Modern Language",Trinity College Dublin,TR563,335,590,1039,8
Arts,"Middle Eastern,Jewish and Islamic Civilisations/Music",Trinity College Dublin,TR564,NA,0,NA,8
Arts,"Middle Eastern,Jewish and Islamic Civilisations/Religion",Trinity College Dublin,TR565,342,999,2918,8
Arts,Mathematics/Modern Language,Trinity College Dublin,TR597,566,613,664,8
Arts,Mathematics/Music,Trinity College Dublin,TR598,566,625,690,8
Arts,Mathematics/Philosophy,Trinity College Dublin,TR599,566,625,690,8
Arts,Music/Philosophy,Trinity College Dublin,TR629,499,533,569,8
Arts,Music/Drama Studies,Trinity College Dublin,TR635,NA,532,NA,8
Arts,Music/Modern Language,Trinity College Dublin,TR636,388,530,724,8
Arts,Music/Religion,Trinity College Dublin,TR638,388,0,NA,8
Arts,Philosophy/Modern Language,Trinity College Dublin,TR639,499,520,542,8
Arts,Philosophy/Sociology,Trinity College Dublin,TR662,499,531,565,8
Arts,Religion/Classical Civilisation,Trinity College Dublin,TR663,342,418,511,8
Arts,Religion/English Literature,Trinity College Dublin,TR664,498,968,1882,8
Arts,Religion/History of Art and Architecture,Trinity College Dublin,TR665,342,369,398,8
Arts,Religion/Modern Language,Trinity College Dublin,TR666,NA,0,NA,8
Arts,French/Modern Language,Trinity College Dublin,TR667,403,466,539,8
Arts,German/Modern Language,Trinity College Dublin,TR668,389,441,500,8
Arts,Irish/Modern Language,Trinity College Dublin,TR669,368,464,585,8
Arts,Italian/Modern Language,Trinity College Dublin,TR670,381,462,560,8
Arts,Russian/Modern Language,Trinity College Dublin,TR671,332,501,756,8
Arts,Spanish/Modern Language,Trinity College Dublin,TR672,336,486,703,8
Arts,Sociology/Drama Studies,Trinity College Dublin,TR755,NA,NA,NA,8
Arts,Sociology/Modern Language,Trinity College Dublin,TR756,498,522,547,8
Health,Dental Nursing,Trinity College Dublin,TR801,436,490,551,7
Health,Dental Hygiene,Trinity College Dublin,TR802,NA,577,NA,7
Health,Dental Technology,Trinity College Dublin,TR803,NA,543,NA,7
Health,Children`s and General Nursing (Integrated),Trinity College Dublin,TR911,511,531,552,8
Health,Midwifery,Trinity College Dublin,TR913,478,521,568,8
Engineering and engineering trades,Electronic Engineering,Technological University Dublin,TU601,232,NA,NA,6
Engineering and engineering trades,Computer Engineering,Technological University Dublin,TU602,223,NA,NA,6
Engineering and engineering trades,Mechanical Engineering,Technological University Dublin,TU603,197,NA,NA,6
Personal services,Bar and Restaurant Management,Technological University Dublin,TU641,223,243,265,6
Personal services,Culinary Arts,Technological University Dublin,TU642,153,154,155,6
Personal services,Culinary Arts (Professional Cookery Practice),Technological University Dublin,TU643,236,242,248,6
Personal services,Food Management and Entrepreneurship,Technological University Dublin,TU644,223,250,280,6
Manufacturing and processing,Food Science and Management,Technological University Dublin,TU645,241,251,261,6
Biological and related sciences,Applied Biology,Technological University Dublin,TU651,205,361,636,6
Information and Communication Technologies (ICTs),Computing,Technological University Dublin,TU652,194,240,297,6
Information and Communication Technologies (ICTs),Computing (Information Technology),Technological University Dublin,TU653,245,NA,NA,6
Health,Pharmacy Technician Studies,Technological University Dublin,TU654,321,350,382,6
Information and Communication Technologies (ICTs),Computing (Networking Technologies) Learn and Work,Technological University Dublin,TU655,410,502,615,6
Business and administration,Business,Technological University Dublin,TU671,226,NA,NA,6
Business and administration,Business (Common entry),Technological University Dublin,TU672,180,NA,NA,6
Business and administration,Business Management,Technological University Dublin,TU673,300,301,302,6
Business and administration,Business Studies,Technological University Dublin,TU674,300,307,314,6
Business and administration,Marketing,Technological University Dublin,TU675,301,301,301,6
Business and administration,Retail Management and Marketing,Technological University Dublin,TU676,290,290,290,6
Engineering and engineering trades,Automation Engineering,Technological University Dublin,TU701,260,243,227,7
Engineering and engineering trades,Biomedical Design,Technological University Dublin,TU702,232,249,267,7
Engineering and engineering trades,Building Engineering,Technological University Dublin,TU703,260,273,287,7
Architecture and construction,Civil Engineering,Technological University Dublin,TU704,262,260,258,7
Engineering and engineering trades,Electrical and Control Engineering,Technological University Dublin,TU705,243,272,304,7
Engineering and engineering trades,Electrical Services Engineering,Technological University Dublin,TU706,244,245,246,7
Engineering and engineering trades,Electronic Engineering,Technological University Dublin,TU707,224,NA,NA,7
Engineering and engineering trades,Engineering (Common Entry with Award options),Technological University Dublin,TU708,225,NA,NA,7
Engineering and engineering trades,Engineering (General Entry),Technological University Dublin,TU709,370,400,432,7
Engineering and engineering trades,Engineering Reliability Management,Technological University Dublin,TU710,244,NA,NA,7
Engineering and engineering trades,Mechatronic Engineering,Technological University Dublin,TU711,223,225,227,7
Engineering and engineering trades,Sustainable Energy and Environmental Engineering,Technological University Dublin,TU712,180,NA,NA,7
Engineering and engineering trades,Computer Engineering,Technological University Dublin,TU713,221,222,223,7
Engineering and engineering trades,Electronics and Communications Engineering,Technological University Dublin,TU714,264,262,260,7
Engineering and engineering trades,Engineering Software,Technological University Dublin,TU715,181,NA,NA,7
Engineering and engineering trades,Networking Technology,Technological University Dublin,TU716,241,249,257,7
Engineering and engineering trades,Mechanical Engineering,Technological University Dublin,TU717,300,301,302,7
Engineering and engineering trades,Mechanical Engineering,Technological University Dublin,TU718,198,NA,NA,7
Manufacturing and processing,"Design,Technology and Innovation",Technological University Dublin,TU719,228,261,299,7
Engineering and engineering trades,Automotive Management and Technology,Technological University Dublin,TU720,232,232,232,7
Engineering and engineering trades,Aviation Technology,Technological University Dublin,TU721,350,302,261,7
Manufacturing and processing,Process Instrumentation and Automation Learn and Work,Technological University Dublin,TU722,292,346,410,7
Business and administration,"Auctioneering, Valuation and Estate Agency",Technological University Dublin,TU731,290,330,376,7
Manufacturing and processing,Timber Product Technology,Technological University Dublin,TU732,253,NA,NA,7
Personal services,Sports Management and Coaching,Technological University Dublin,TU735,270,270,270,7
Biological and related sciences,Sports Science and Health,Technological University Dublin,TU736,410,484,571,7
Personal services,Baking and Pastry Arts Management,Technological University Dublin,TU741,234,231,228,7
Personal services,Culinary Arts,Technological University Dublin,TU742,155,158,161,7
Personal services,Hospitality Management,Technological University Dublin,TU745,245,252,259,7
Personal services,International Hospitality and Tourism Management,Technological University Dublin,TU746,170,157,145,7
Personal services,Tourism Management,Technological University Dublin,TU747,242,263,286,7
Biological and related sciences,Biosciences,Technological University Dublin,TU751,407,418,429,7
Biological and related sciences,DNA and Forensic Analysis,Technological University Dublin,TU752,390,500,641,7
Physical sciences,Industrial and Environmental Physics,Technological University Dublin,TU754,270,273,276,7
Physical sciences,Science (General Entry),Technological University Dublin,TU755,361,361,361,7
Information and Communication Technologies (ICTs),Computing,Technological University Dublin,TU756,200,201,202,7
Information and Communication Technologies (ICTs),Computing (Information Technology),Technological University Dublin,TU757,225,227,229,7
Information and Communication Technologies (ICTs),Digital Forensics and Cyber Security,Technological University Dublin,TU758,220,223,226,7
Information and Communication Technologies (ICTs),Information Technology Management,Technological University Dublin,TU759,211,NA,NA,7
Biological and related sciences,Bioanalysis,Technological University Dublin,TU760,204,360,635,7
Health,Ophthalmic Dispensing,Technological University Dublin,TU761,302,316,331,7
Physical sciences,Medicinal Chemistry and Pharmaceutical Sciences,Technological University Dublin,TU762,364,320,281,7
Biological and related sciences,Pharmaceutical Science,Technological University Dublin,TU763,382,391,400,7
Business and administration,Business,Technological University Dublin,TU771,224,NA,NA,7
Business and administration,Business (Common Entry with Award options),Technological University Dublin,TU772,NA,NA,NA,7
Business and administration,Management,Technological University Dublin,TU774,195,NA,NA,7
Business and administration,Accounting and Finance,Technological University Dublin,TU775,260,NA,NA,7
Business and administration,Accounting and Finance,Technological University Dublin,TU776,182,NA,NA,7
Business and administration,Business and Information Technology,Technological University Dublin,TU777,244,NA,NA,7
Business and administration,International Business,Technological University Dublin,TU778,224,NA,NA,7
Business and administration,International Business,Technological University Dublin,TU779,180,NA,NA,7
Business and administration,Advertising and Marketing Communications,Technological University Dublin,TU780,179,201,226,7
Business and administration,Digital Marketing,Technological University Dublin,TU781,220,223,226,7
Business and administration,Digital Marketing,Technological University Dublin,TU782,179,200,223,7
Business and administration,Marketing,Technological University Dublin,TU783,189,NA,NA,7
Welfare,Applied Social Studies in Social Care,Technological University Dublin,TU791,320,320,320,7
Social and behavioural sciences,Community and Youth Development,Technological University Dublin,TU792,101,NA,NA,7
Welfare,Early Childhood Care and Education,Technological University Dublin,TU793,220,NA,NA,7
Welfare,Early Childhood Care and Education,Technological University Dublin,TU794,390,NA,NA,7
Arts,Visual Merchandising and Display,Technological University Dublin,TU795,481,618,794,7
Arts,Creative Digital Media,Technological University Dublin,TU796,225,224,223,7
Engineering and engineering trades,Biomedical Design,Technological University Dublin,TU801,235,235,235,8
Engineering and engineering trades,Electrical Services and Energy Management,Technological University Dublin,TU802,317,309,301,8
Engineering and engineering trades,Electronic Engineering,Technological University Dublin,TU803,243,NA,NA,8
Engineering and engineering trades,Engineering (Common Entry with Award options),Technological University Dublin,TU804,271,270,269,8
Engineering and engineering trades,Engineering (General Entry),Technological University Dublin,TU805,402,466,540,8
Engineering and engineering trades,Sustainable Energy Engineering,Technological University Dublin,TU806,262,NA,NA,8
Engineering and engineering trades,Computer Engineering in Mobile Systems,Technological University Dublin,TU807,276,274,272,8
Engineering and engineering trades,Engineering Software,Technological University Dublin,TU808,260,NA,NA,8
Engineering and engineering trades,Mechanical Engineering,Technological University Dublin,TU809,235,NA,NA,8
Engineering and engineering trades,Mechatronic Engineering,Technological University Dublin,TU810,270,271,272,8
Arts,Product Design,Technological University Dublin,TU811,411,440,471,8
Manufacturing and processing,"Design,Technology and Innovation",Technological University Dublin,TU812,270,278,286,8
Engineering and engineering trades,Automation Engineering,Technological University Dublin,TU813,218,NA,NA,8
Transport services,Transport Operations and Technology,Technological University Dublin,TU814,285,253,225,8
Architecture and construction,Architectural Technology,Technological University Dublin,TU831,410,423,436,8
Architecture and construction,Architecture (Suitability Test and Interview),Technological University Dublin,TU832,622,644,667,8
Architecture and construction,Construction Management,Technological University Dublin,TU833,367,396,427,8
Architecture and construction,Geographic Science,Technological University Dublin,TU834,288,315,345,8
Architecture and construction,Planning and Environmental Management,Technological University Dublin,TU835,313,330,348,8
Architecture and construction,Property Economics (Valuation Surveying),Technological University Dublin,TU836,401,411,421,8
Architecture and construction,Quantity Surveying and Construction Economics,Technological University Dublin,TU837,385,413,443,8
Environment,Analytical Chemistry (Environmental Forensic and Pharmaceutical),Technological University Dublin,TU851,349,400,458,8
Physical sciences,Chemical Sciences with Medicinal Chemistry,Technological University Dublin,TU852,476,477,478,8
Biological and related sciences,Science (General Entry),Technological University Dublin,TU854,476,510,546,8
Physical sciences,Science with Nanotechnology,Technological University Dublin,TU855,331,322,313,8
Information and Communication Technologies (ICTs),Computer Science,Technological University Dublin,TU856,476,499,523,8
Information and Communication Technologies (ICTs),Computer Science (Infrastructure),Technological University Dublin,TU857,391,403,415,8
Information and Communication Technologies (ICTs),Computer Science (International),Technological University Dublin,TU858,377,395,414,8
Information and Communication Technologies (ICTs),Computing,Technological University Dublin,TU859,217,251,290,8
Information and Communication Technologies (ICTs),Computing (Information Technology),Technological University Dublin,TU860,260,270,280,8
Information and Communication Technologies (ICTs),Computing with Language (French/German/Spanish),Technological University Dublin,TU861,308,235,179,8
Information and Communication Technologies (ICTs),Computing with Data Analytics,Technological University Dublin,TU862,226,262,304,8
Information and Communication Technologies (ICTs),Digital Forensics and Cyber Security,Technological University Dublin,TU863,280,282,284,8
Biological and related sciences,DNA and Forensic Analysis,Technological University Dublin,TU864,400,500,625,8
Information and Communication Technologies (ICTs),Computing with IT Management,Technological University Dublin,TU865,226,235,244,8
Health,Biomedical and Molecular Diagnostics,Technological University Dublin,TU866,487,522,560,8
Health,Biomedical Science,Technological University Dublin,TU867,524,576,633,8
Health,Clinical Measurement Science,Technological University Dublin,TU868,510,542,576,8
Hygiene and occupational health services,Environmental Health,Technological University Dublin,TU869,336,387,446,8
Health,Human Nutrition and Dietetics,Technological University Dublin,TU870,578,601,625,8
Health,Optometry,Technological University Dublin,TU871,509,532,556,8
Biological and related sciences,Public Health Nutrition,Technological University Dublin,TU872,491,487,483,8
Mathematics and statistics,Industrial Mathematics,Technological University Dublin,TU873,250,NA,NA,8
Mathematics and statistics,Mathematical Sciences,Technological University Dublin,TU874,341,294,253,8
Biological and related sciences,Pharmaceutical Healthcare,Technological University Dublin,TU875,400,451,509,8
Biological and related sciences,Pharmaceutical Science,Technological University Dublin,TU876,377,445,525,8
Physical sciences,Physics Technology,Technological University Dublin,TU877,308,314,320,8
Physical sciences,Physics with Energy and Environment,Technological University Dublin,TU878,337,339,341,8
Health,Physics with Medical Physics and Bioengineering,Technological University Dublin,TU879,351,346,341,8
Physical sciences,Physics with Data Science,Technological University Dublin,TU880,578,412,294,8
Manufacturing and processing,Food Innovation,Technological University Dublin,TU881,318,309,300,8
Biological and related sciences,Nutraceuticals in Health and Nutrition,Technological University Dublin,TU882,397,380,364,8
Business and administration,Business,Technological University Dublin,TU901,270,NA,NA,8
Business and administration,Business (Common Entry with Award options),Technological University Dublin,TU902,271,270,269,8
Business and administration,Business and Management,Technological University Dublin,TU903,463,477,491,8
Business and administration,Business and Law,Technological University Dublin,TU904,462,462,462,8
Social and behavioural sciences,Economics and Finance,Technological University Dublin,TU905,465,460,455,8
Business and administration,Human Resource Management,Technological University Dublin,TU906,395,386,377,8
Business and administration,Logistics and Supply Chain Management,Technological University Dublin,TU907,300,300,300,8
Business and administration,Management,Technological University Dublin,TU908,262,NA,NA,8
Business and administration,Accounting and Finance,Technological University Dublin,TU909,285,NA,NA,8
Business and administration,Accounting and Finance,Technological University Dublin,TU910,444,420,397,8
Business and administration,Accounting and Finance,Technological University Dublin,TU911,209,NA,NA,8
Information and Communication Technologies (ICTs),Business Analytics,Technological University Dublin,TU912,330,331,332,8
Business and administration,Business and Information Technology,Technological University Dublin,TU913,252,NA,NA,8
Information and Communication Technologies (ICTs),Business Computing,Technological University Dublin,TU914,324,322,320,8
Business and administration,International Business,Technological University Dublin,TU915,252,NA,NA,8
Business and administration,International Business,Technological University Dublin,TU916,235,NA,NA,8
Law,Law (LLB ) with a Language,Technological University Dublin,TU917,342,356,371,8
Law,Law (LLB),Technological University Dublin,TU918,451,463,475,8
Business and administration,Advertising and Marketing Communications,Technological University Dublin,TU919,228,219,210,8
Business and administration,Digital Marketing,Technological University Dublin,TU920,270,270,270,8
Business and administration,Digital Marketing Technologies,Technological University Dublin,TU921,212,230,250,8
Business and administration,Marketing,Technological University Dublin,TU922,418,412,406,8
Business and administration,Marketing Management,Technological University Dublin,TU923,228,NA,NA,8
Business and administration,E-Commerce in Retailing,Technological University Dublin,TU924,307,307,307,8
Business and administration,Retail and Services Management,Technological University Dublin,TU925,301,307,313,8
Personal services,Sports Management and Coaching,Technological University Dublin,TU935,300,300,300,8
Biological and related sciences,Sports Science and Health,Technological University Dublin,TU936,410,484,571,8
Personal services,Botanical Cuisine,Technological University Dublin,TU941,249,311,388,8
Personal services,Culinary Arts,Technological University Dublin,TU942,212,252,300,8
Personal services,Culinary Entrepreneurship,Technological University Dublin,TU943,278,261,245,8
Personal services,Culinary Science,Technological University Dublin,TU944,316,336,357,8
Personal services,International Hospitality and Tourism Management,Technological University Dublin,TU951,184,244,324,8
Personal services,International Hospitality Management,Technological University Dublin,TU952,300,309,318,8
Personal services,Tourism and Digital Marketing,Technological University Dublin,TU953,290,308,327,8
Personal services,Event Management,Technological University Dublin,TU954,356,326,299,8
Personal services,Sports & Leisure Management,Technological University Dublin,TU955,217,275,349,8
Arts,Commercial Modern Music,Technological University Dublin,TU961,608,536,473,8
Arts,Drama (Performance),Technological University Dublin,TU962,379,448,530,8
Arts,Music,Technological University Dublin,TU963,416,364,319,8
Business and administration,International Business and Languages,Technological University Dublin,TU965,356,357,358,8
Languages,Languages and English Studies,Technological University Dublin,TU966,366,NA,NA,8
Arts,Languages and International Tourism,Technological University Dublin,TU967,308,298,288,8
Arts,Contemporary Visual Culture,Technological University Dublin,TU971,290,NA,NA,8
Arts,Creative and Cultural Industries,Technological University Dublin,TU972,281,NA,NA,8
Arts,Design - Visual Communication,Technological University Dublin,TU973,717,700,683,8
Arts,Fine Art,Technological University Dublin,TU974,709,549,425,8
Arts,Interior Design,Technological University Dublin,TU975,632,544,468,8
Arts,Photography,Technological University Dublin,TU976,695,700,705,8
Arts,Creative Digital Media,Technological University Dublin,TU981,280,280,280,8
Arts,Creative Digital Media,Technological University Dublin,TU982,320,369,426,8
Arts,Film and Broadcasting,Technological University Dublin,TU983,456,462,468,8
Information and Communication Technologies (ICTs),Game Design,Technological University Dublin,TU984,381,414,450,8
Journalism and information,Journalism,Technological University Dublin,TU985,322,367,418,8
Business and administration,Print Media Technology and Management,Technological University Dublin,TU986,289,NA,NA,8
Welfare,Applied Social Studies in Social Care,Technological University Dublin,TU991,325,326,327,8
Social and behavioural sciences,Community and Youth Development,Technological University Dublin,TU992,251,251,251,8
Welfare,Early Childhood Care and Education,Technological University Dublin,TU993,270,NA,NA,8
Welfare,Early Childhood Care and Education,Technological University Dublin,TU994,321,NA,NA,8
Education,Early Childhood Education,Technological University Dublin,TU995,367,378,389,8
Social and behavioural sciences,Social Care,Technological University Dublin,TU996,400,407,414,8
Welfare,Applied Social Care,Technological University Dublin,TU997,310,320,330,8
Information and Communication Technologies (ICTs),Applied Computing (options),Waterford Institute of Technology,WD001,260,270,280,8
Physical sciences,Science (options),Waterford Institute of Technology,WD002,308,279,253,8
Business and administration,Business,Waterford Institute of Technology,WD003,NA,NA,NA,6
Health,Health Sciences (options),Waterford Institute of Technology,WD005,280,271,262,8
